BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,Plan_A_Total_Cost,Plan_B_Total_Cost,Plan_D_Total_Cost
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6274.0,2989.0,2666.0,148.0,175.0,0.3,0.32,6161.0,5198.0,2951.0,1457.0,790.0,11.234000000000002,4.64,2891.0,4143.0,58.257,2989.0,5198.0,4143.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4259.0,3957.0,3449.0,340.0,168.0,0.35700000000000004,0.8220000000000001,4217.0,6578.0,3141.0,1786.0,1651.0,11.669,6.447,4546.0,6446.0,75.806,3957.0,6578.0,6446.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,236.0,7891.0,7314.0,3884.5305490458654,1405.2687479075996,0.784,10.00132281553398,235.0,8092.0,4352.0,2122.0,1618.0,13.409,6.077000000000001,97.0,3827.0,59.34,12603.799296953464,8092.0,3827.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,195.0,8535.0,7430.0,3884.5305490458654,1405.2687479075996,0.815,10.00132281553398,195.0,10704.0,4711.0,2345.0,3648.0,14.467,7.728,205.0,6432.0,80.439,12719.799296953464,10704.0,6432.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,518.0,2460.0,2291.0,3884.5305490458654,1405.2687479075996,0.251,10.00132281553398,507.0,5263.0,3043.0,1537.0,683.0,11.642999999999999,4.353,209.0,5528.0,54.081,7580.799296953464,5263.0,5528.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,426.0,4916.0,4024.0,755.0,137.0,0.364,1.962,425.0,6429.0,3256.0,1801.0,1372.0,11.633,6.965,437.0,7420.0,78.059,4916.0,6429.0,7420.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,248.0,4046.0,3586.0,3884.5305490458654,1405.2687479075996,0.40700000000000003,10.00132281553398,245.0,8778.0,5119.0,2081.0,1578.0,17.682000000000002,4.853,111.0,6528.0,57.396,8875.799296953464,8778.0,6528.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,195.0,4149.0,3508.0,3884.5305490458654,1405.2687479075996,0.349,10.00132281553398,194.0,8460.0,4417.0,1921.0,2122.0,14.437999999999999,6.0,202.0,7264.0,73.832,8797.799296953464,8460.0,7264.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80043.0,2195.0,2057.0,67.0,71.0,0.301,0.154,74992.0,2734.0,1513.0,921.0,300.0,5.257000000000001,3.636,39808.0,4237.0,37.659,2195.0,2734.0,4237.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148256.0,3691.0,3483.0,145.0,63.0,0.479,0.396,143669.0,3604.0,1842.0,1357.0,405.0,5.14,5.9879999999999995,147828.0,5703.0,44.043,3691.0,3604.0,5703.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1172.0,7028.0,6160.0,571.0,297.0,0.742,1.345,1121.0,5154.0,2758.0,1577.0,819.0,7.809,5.359,492.0,3859.0,44.876000000000005,7028.0,5154.0,3859.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1621.0,14668.0,11786.0,2313.0,569.0,1.062,5.568,1589.0,7455.0,3754.0,2657.0,1044.0,7.065,9.021,1595.0,5837.0,60.022,14668.0,7455.0,5837.0
